//SearchInGridの実行結果
0	1	2	3	4	5	6	
2	3	4	17	36	79	134	
4	5	6	31	68	153	262	
6	7	8	45	100	227	390	
8	9	10	59	132	301	518	
10	11	12	73	164	375	646	
12	13	14	87	196	449	774	
14	15	16	101	228	523	902	
16	17	18	115	260	597	1030	
18	19	20	129	292	671	1158	
20	21	22	143	324	745	1286	
22	23	24	157	356	819	1414	
24	25	26	171	388	893	1542	
26	27	28	185	420	967	1670	
28	29	30	199	452	1041	1798	
30	31	32	213	484	1115	1926	
32	33	34	227	516	1189	2054	
34	35	36	241	548	1263	2182	
36	37	38	255	580	1337	2310	
38	39	40	269	612	1411	2438	
40	41	42	283	644	1485	2566	
42	43	44	297	676	1559	2694	
44	45	46	311	708	1633	2822	
46	47	48	325	740	1707	2950	
48	49	50	339	772	1781	3078	
search 213: (x, y) = (3, 15)
